accuracy,attribute,auc,available,balanced_accuracy,f1,n,negative_recall,positive_recall
0.9085681426106959,Nuclear_Chromatin,0.8558015499825845,True,0.7258860153256705,0.9498896942956193,1739,0.5069444444444444,0.9448275862068966
0.8167220376522702,Nuclear_Shape,0.8818248430106348,True,0.8239137431606051,0.8526924788607032,1806,0.8461538461538461,0.801673640167364
0.946843853820598,Nucleus,0.7760642565435867,True,0.578085695499267,0.9724454649827784,1806,0.16494845360824742,0.9912229373902867
0.7929125138427464,Cytoplasm,0.8204872166297786,True,0.740304565541887,0.6361867704280155,1806,0.8693941778127459,0.611214953271028
0.8698781838316723,Cytoplasmic_Basophilia,0.8850949814783791,True,0.8159728039314235,0.9206349206349206,1806,0.7375886524822695,0.8943569553805775
0.8388704318936877,Cytoplasmic_Vacuoles,0.8739866895018328,True,0.8063953488372093,0.8866380989481886,1806,0.7306201550387597,0.8821705426356589
